ACK_Count,Flow_Count,Max_Packet_Length,Mean_Bwd_Packets_Rate,Mean_Flow_Bytes_Rate,Mean_Flow_Duration,Mean_Flow_IAT,Mean_Flow_IAT_Max,Mean_Flow_IAT_Min,Mean_Flow_IAT_Std,Mean_Flow_Packets_Rate,Mean_Fwd_Packets_Rate,Mean_Packet_Length,Mean_Packet_Length_Std,Min_Packet_Length,PSH_Count,RST_Count,SYN_Count,Total_Bwd_Bytes,Total_Bwd_Pkts,Total_Fwd_Bytes,Total_Fwd_Pkts,Unique_Dst_Ports,Unique_Protocols
242,679,1460.0,839.528457337134,80115.88702795964,7687016.293078056,5752697.929597037,6427393.440353461,5620039.421207658,257109.85026902417,10438.562883280332,9599.034426065826,62.52307021206186,111.25485245554638,0.0,364,262,5,339011.0,2115,261445.0,2888,78,3
390,846,1460.0,4394.242975437741,265381.9387370272,11062775.109929075,5487916.437180411,6829067.814420803,5157854.003546099,603410.6576600482,38666.53753965341,34043.76892874716,53.729912406912526,97.53251020318916,0.0,388,272,18,520761.0,3661,298819.0,4684,186,3
269,775,1460.0,5703.471136297833,306588.54256778833,9090576.886451611,5579694.831144685,6884747.931612903,5377324.91483871,437037.0748618069,16611.835598182497,10886.929835273602,72.2116071186542,125.22762200646063,0.0,419,289,9,594974.0,2778,342382.0,3668,77,3
387,854,1460.0,1362.6607023264417,638917.4270999592,6159340.7049180325,3922501.390816003,4957744.892271663,3757064.353629977,369166.724101866,66151.90981762442,63937.175335503605,63.61473726874006,103.02753008055036,0.0,380,271,94,950378.0,2789,294432.0,3776,148,3
306,1224,1460.0,774.2313912267875,156876.44009219744,13176714.723039215,3278331.5671455045,7052197.534313725,2851424.141339869,1131577.8846824232,11582.52580978485,10742.054483392014,92.30618848014868,136.98395255670587,0.0,555,286,32,13976286.0,13757,562312.0,7959,116,3
238,673,1460.0,177.29418734640117,13809.231491936069,9605330.473997029,6178336.66163562,7203175.013372957,6045911.1248142645,324482.5515766222,2972.4390516739986,2795.1448643117938,70.14387490099257,123.0541260779777,0.0,401,287,8,433873.0,3311,307543.0,4214,78,2
316,1126,1460.0,1576.131746396556,136236.24984273207,13742405.889875663,5040535.470208239,7235975.955595027,4746826.21758437,691453.5464189572,7635.846598968026,6032.589287340079,86.1644527262913,131.38858610660478,0.0,526,289,23,1997434.0,5015,456692.0,5750,144,3
288,1122,1460.0,864.0151596051685,53721.12173155242,13798102.43137255,4164000.0733024697,6776912.446524064,3834250.2174688056,802655.8465979107,7138.534442171464,6268.156952433734,84.46308434258823,137.7812657898975,0.0,546,318,12,1603606.0,4953,477391.0,5907,101,3
279,829,1460.0,1113.9252229240035,64359.16457824704,10510830.867310012,4915462.817724599,6761183.211097708,4599774.441495778,657077.7575508967,11870.508165644693,10742.263873823054,76.16447974599156,135.012666206649,0.0,466,325,13,2421669.0,4466,392529.0,4791,94,3
249,685,1460.0,4928.876117495771,216432.88974728715,8631360.51970803,5277607.557562214,5861055.489051095,5150716.40729927,224629.20737107008,10703.97449429276,5775.098376764124,66.81100071128468,126.4579948971241,0.0,413,289,11,454305.0,3522,311857.0,4424,78,3
