Date_Key,Split,0->0,0->1,1->0,1->1,Attack_Onsets,Attack_Ends,Attack_Persistence
01-03-2018,TEST,805,2,2,308,2,2,0.9935483870967742
02-03-2018,TEST,352,1,1,672,1,1,0.9985141158989599
14-02-2018,TRAIN,682,2,2,378,2,2,0.9947368421052631
15-02-2018,TRAIN,999,5,5,113,5,5,0.9576271186440678
16-02-2018,TRAIN,0,0,0,83,0,0,1.0
20-02-2018,TRAIN,1269,9,9,142,9,9,0.9403973509933775
21-02-2018,TRAIN,44,0,0,95,0,0,1.0
22-02-2018,TRAIN,843,103,103,26,103,103,0.20155038759689922
23-02-2018,TRAIN,813,86,86,105,86,86,0.5497382198952879
28-02-2018,VALIDATION,848,2,2,264,2,2,0.9924812030075187
