Feature_A,Feature_B,Correlation,Abs_Correlation
Fwd PSH Flags,SYN Flag Cnt,1.0,1.0
Bwd Pkt Len Mean,Bwd Seg Size Avg,1.0,1.0
Fwd Pkt Len Mean,Fwd Seg Size Avg,1.0,1.0
Tot Bwd Pkts,Subflow Bwd Pkts,1.0,1.0
Fwd URG Flags,CWE Flag Count,1.0,1.0
TotLen Fwd Pkts,Subflow Fwd Byts,1.0,1.0
Tot Fwd Pkts,Subflow Fwd Pkts,1.0,1.0
TotLen Bwd Pkts,Subflow Bwd Byts,0.9999999970237502,0.9999999970237502
RST Flag Cnt,ECE Flag Cnt,0.9999805024699984,0.9999805024699984
Bwd Header Len,Subflow Bwd Pkts,0.9997377800934799,0.9997377800934799
Tot Bwd Pkts,Bwd Header Len,0.9997377800934798,0.9997377800934798
Tot Fwd Pkts,Fwd Act Data Pkts,0.9997080554796283,0.9997080554796283
Subflow Fwd Pkts,Fwd Act Data Pkts,0.9997080554796283,0.9997080554796283
Tot Fwd Pkts,Fwd Header Len,0.9984946269168447,0.9984946269168447
Fwd Header Len,Subflow Fwd Pkts,0.9984946269168447,0.9984946269168447
Fwd Header Len,Fwd Act Data Pkts,0.9970103961913468,0.9970103961913468
Idle Mean,Idle Min,0.9966962565752381,0.9966962565752381
Bwd Header Len,Subflow Bwd Byts,0.996309003972542,0.996309003972542
TotLen Bwd Pkts,Bwd Header Len,0.9963087903441058,0.9963087903441058
Tot Bwd Pkts,Subflow Bwd Byts,0.996273583273833,0.996273583273833
Subflow Bwd Pkts,Subflow Bwd Byts,0.996273583273833,0.996273583273833
Tot Bwd Pkts,TotLen Bwd Pkts,0.9962733671859578,0.9962733671859578
TotLen Bwd Pkts,Subflow Bwd Pkts,0.9962733671859577,0.9962733671859577
Flow Duration,Fwd IAT Tot,0.9962090749931777,0.9962090749931777
Idle Mean,Idle Max,0.995816545408926,0.995816545408926
Pkt Len Mean,Pkt Size Avg,0.9930492614317229,0.9930492614317229
Flow IAT Mean,Flow IAT Min,0.9924196352789764,0.9924196352789764
Flow IAT Mean,Fwd IAT Mean,0.9911367825193756,0.9911367825193756
Flow IAT Max,Fwd IAT Max,0.9909314182142813,0.9909314182142813
Flow IAT Mean,Fwd IAT Min,0.9895023205190537,0.9895023205190537
Flow IAT Min,Fwd IAT Min,0.9887491343895378,0.9887491343895378
Fwd IAT Mean,Fwd IAT Min,0.9872272514900434,0.9872272514900434
Idle Max,Idle Min,0.9857395646902387,0.9857395646902387
Flow IAT Min,Fwd IAT Mean,0.9757572884851399,0.9757572884851399
Subflow Fwd Byts,Fwd Act Data Pkts,0.9725832251915649,0.9725832251915649
TotLen Fwd Pkts,Fwd Act Data Pkts,0.9725832251915649,0.9725832251915649
TotLen Fwd Pkts,Subflow Fwd Pkts,0.9723834379458479,0.9723834379458479
Tot Fwd Pkts,TotLen Fwd Pkts,0.9723834379458477,0.9723834379458477
Tot Fwd Pkts,Subflow Fwd Byts,0.9723834379458477,0.9723834379458477
Subflow Fwd Pkts,Subflow Fwd Byts,0.9723834379458477,0.9723834379458477
Fwd Header Len,Subflow Fwd Byts,0.9717463358780736,0.9717463358780736
TotLen Fwd Pkts,Fwd Header Len,0.9717463358780734,0.9717463358780734
Bwd Pkt Len Max,Bwd Pkt Len Std,0.9698304636547211,0.9698304636547211
Pkt Len Max,Pkt Len Std,0.9665767332771783,0.9665767332771783
Fwd Pkt Len Max,Fwd Pkt Len Std,0.9620509931742286,0.9620509931742286
Bwd Pkt Len Max,Pkt Len Max,0.9609280131730141,0.9609280131730141
Bwd Pkt Len Std,Pkt Len Max,0.9558137062625971,0.9558137062625971
Pkt Len Mean,Bwd Seg Size Avg,0.9475910793471937,0.9475910793471937
Bwd Pkt Len Mean,Pkt Len Mean,0.9475910793471933,0.9475910793471933
Active Mean,Active Max,0.9475642237657881,0.9475642237657881
Bwd Pkt Len Std,Pkt Len Std,0.9462442931484356,0.9462442931484356
Flow Pkts/s,Fwd Pkts/s,0.943883308338773,0.943883308338773
Bwd Pkt Len Mean,Pkt Size Avg,0.9415442459102963,0.9415442459102963
Pkt Size Avg,Bwd Seg Size Avg,0.941544245910296,0.941544245910296
Fwd Pkt Len Min,Pkt Len Min,0.9368058592230858,0.9368058592230858
Pkt Len Std,Pkt Len Var,0.9357433323087014,0.9357433323087014
Pkt Len Var,Bwd Seg Size Avg,0.9202251048418347,0.9202251048418347
Bwd Pkt Len Mean,Pkt Len Var,0.9202251048418347,0.9202251048418347
Flow IAT Max,Idle Max,0.9176782123303343,0.9176782123303343
Bwd Pkt Len Max,Pkt Len Std,0.9165808801525084,0.9165808801525084
Flow IAT Max,Idle Mean,0.9139639644026216,0.9139639644026216
Fwd IAT Max,Idle Max,0.910191713244422,0.910191713244422
Pkt Len Mean,Pkt Len Var,0.9082834154023112,0.9082834154023112
Fwd IAT Max,Idle Mean,0.906754131698711,0.906754131698711
Flow IAT Max,Idle Min,0.904941055696104,0.904941055696104
Active Mean,Active Min,0.9024371193523717,0.9024371193523717
Fwd IAT Max,Idle Min,0.8979851809007355,0.8979851809007355
Bwd IAT Mean,Bwd IAT Min,0.8906398636727394,0.8906398636727394
Bwd IAT Std,Bwd IAT Max,0.8812930525113871,0.8812930525113871
Pkt Len Var,Pkt Size Avg,0.8795220048648777,0.8795220048648777
Fwd Pkt Len Mean,Fwd Pkt Len Std,0.8742715003716722,0.8742715003716722
Fwd Pkt Len Std,Fwd Seg Size Avg,0.8742715003716722,0.8742715003716722
Fwd Pkt Len Max,Fwd Seg Size Avg,0.8723549257132782,0.8723549257132782
Fwd Pkt Len Max,Fwd Pkt Len Mean,0.8723549257132782,0.8723549257132782
Flow IAT Std,Fwd IAT Std,0.8661736417349186,0.8661736417349186
Pkt Len Mean,Pkt Len Std,0.8650041085768616,0.8650041085768616
Bwd Pkt Len Std,Pkt Len Var,0.863861297833973,0.863861297833973
Fwd IAT Mean,Fwd IAT Max,0.8544995635526913,0.8544995635526913
Bwd Pkt Len Mean,Pkt Len Std,0.851102511531013,0.851102511531013
Pkt Len Std,Bwd Seg Size Avg,0.8511025115310129,0.8511025115310129
Flow IAT Max,Fwd IAT Mean,0.8471625913882409,0.8471625913882409
Protocol,Bwd Pkt Len Min,0.8456745850049971,0.8456745850049971
Pkt Len Max,Pkt Len Var,0.8451915620368935,0.8451915620368935
Pkt Len Std,Pkt Size Avg,0.844525721004186,0.844525721004186
Bwd Pkt Len Max,Pkt Len Var,0.8207982534557784,0.8207982534557784
Flow IAT Mean,Fwd IAT Max,0.8200508270463636,0.8200508270463636
Flow IAT Mean,Flow IAT Max,0.8194199400597032,0.8194199400597032
Dst Port,Src Port,-0.8164196319524019,0.8164196319524019
Fwd Pkt Len Max,Pkt Len Max,0.8111718026353314,0.8111718026353314
Flow Duration,Bwd IAT Tot,0.8099694102562777,0.8099694102562777
Fwd IAT Tot,Bwd IAT Tot,0.804968003339657,0.804968003339657
Fwd IAT Std,Bwd IAT Max,0.8039600594114538,0.8039600594114538
Protocol,Pkt Len Min,0.8032721673683145,0.8032721673683145
Active Std,Active Max,0.7853591262748784,0.7853591262748784
Fwd IAT Max,Fwd IAT Min,0.7851790215533812,0.7851790215533812
Pkt Len Max,Pkt Len Mean,0.7790154680646094,0.7790154680646094
Flow IAT Max,Fwd IAT Min,0.7787490829747453,0.7787490829747453
Bwd Pkt Len Max,Bwd Seg Size Avg,0.7777016493334764,0.7777016493334764
Bwd Pkt Len Max,Bwd Pkt Len Mean,0.7777016493334763,0.7777016493334763
Flow IAT Min,Fwd IAT Max,0.7760038515964615,0.7760038515964615
Bwd Pkt Len Mean,Bwd Pkt Len Std,0.7736287349610255,0.7736287349610255
Bwd Pkt Len Std,Bwd Seg Size Avg,0.7736287349610255,0.7736287349610255
Fwd IAT Mean,Idle Min,0.7707254011463243,0.7707254011463243
Flow IAT Max,Flow IAT Min,0.769990815630773,0.769990815630773
Fwd IAT Mean,Idle Mean,0.7672306802976041,0.7672306802976041
Flow IAT Std,Bwd IAT Max,0.7642574593079617,0.7642574593079617
Bwd IAT Tot,Bwd IAT Max,0.7632048987647563,0.7632048987647563
Fwd IAT Tot,Fwd IAT Max,0.7615219303444755,0.7615219303444755
Flow Duration,Flow IAT Max,0.760286725310168,0.760286725310168
Flow Duration,Fwd IAT Max,0.757955667633243,0.757955667633243
Fwd IAT Mean,Idle Max,0.7577723334050553,0.7577723334050553
Pkt Len Max,Pkt Size Avg,0.7568492379491834,0.7568492379491834
Fwd Pkt Len Max,Pkt Len Std,0.7566069173773493,0.7566069173773493
Bwd Pkt Len Max,Pkt Len Mean,0.754618333937748,0.754618333937748
Bwd Pkt Len Mean,Pkt Len Max,0.753724849180093,0.753724849180093
