Feature,Rows,Finite,NaN,NaN_%,Positive_Inf,Negative_Inf,Inf_%,Zero,Zero_%,Min,Max,Status,Files_Present
Bwd Blk Rate Avg,16232929,16232929,0,0.0,0,0,0.0,16232929,100.0,0.0,0.0,CONSTANT,10
Bwd Byts/b Avg,16232929,16232929,0,0.0,0,0,0.0,16232929,100.0,0.0,0.0,CONSTANT,10
Bwd PSH Flags,16232929,16232929,0,0.0,0,0,0.0,16232929,100.0,0.0,0.0,CONSTANT,10
Bwd Pkts/b Avg,16232929,16232929,0,0.0,0,0,0.0,16232929,100.0,0.0,0.0,CONSTANT,10
Bwd URG Flags,16232929,16232929,0,0.0,0,0,0.0,16232929,100.0,0.0,0.0,CONSTANT,10
Fwd Blk Rate Avg,16232929,16232929,0,0.0,0,0,0.0,16232929,100.0,0.0,0.0,CONSTANT,10
Fwd Byts/b Avg,16232929,16232929,0,0.0,0,0,0.0,16232929,100.0,0.0,0.0,CONSTANT,10
Fwd Pkts/b Avg,16232929,16232929,0,0.0,0,0,0.0,16232929,100.0,0.0,0.0,CONSTANT,10
Flow Byts/s,16232929,16137169,59721,0.3679003339446627,36039,0,0.2220116899420924,4966518,30.776885338438237,0.0,1806642857.14286,HAS_INFINITY,10
Flow Pkts/s,16232929,16137169,0,0.0,95760,0,0.5899120238867551,0,0.0,0.016666673333336,6000000.0,HAS_INFINITY,10
CWE Flag Count,16232929,16232929,0,0.0,0,0,0.0,16230270,99.98361971520976,0.0,1.0,MOSTLY_ZERO,10
FIN Flag Cnt,16232929,16232929,0,0.0,0,0,0.0,16155085,99.52045622820133,0.0,1.0,MOSTLY_ZERO,10
Fwd URG Flags,16232929,16232929,0,0.0,0,0,0.0,16230270,99.98361971520976,0.0,1.0,MOSTLY_ZERO,10
Dst IP,7948748,0,7948748,100.0,0,0,0.0,0,0.0,,,NON_NUMERIC,1
Flow ID,7948748,0,7948748,100.0,0,0,0.0,0,0.0,,,NON_NUMERIC,1
Label,16232929,0,16232929,100.0,0,0,0.0,0,0.0,,,NON_NUMERIC,10
Src IP,7948748,0,7948748,100.0,0,0,0.0,0,0.0,,,NON_NUMERIC,1
Timestamp,16232929,0,16232929,100.0,0,0,0.0,0,0.0,,,NON_NUMERIC,10
ACK Flag Cnt,16232929,16232929,0,0.0,0,0,0.0,10850052,66.83976748743248,0.0,1.0,USABLE,10
Active Max,16232929,16232929,0,0.0,0,0,0.0,14605572,89.97496385279577,0.0,114000000.0,USABLE,10
Active Mean,16232929,16232929,0,0.0,0,0,0.0,14605572,89.97496385279577,0.0,114000000.0,USABLE,10
Active Min,16232929,16232929,0,0.0,0,0,0.0,14605572,89.97496385279577,0.0,114000000.0,USABLE,10
Active Std,16232929,16232929,0,0.0,0,0,0.0,15107371,93.06620511923633,0.0,75232413.85230836,USABLE,10
Bwd Header Len,16232929,16232929,0,0.0,0,0,0.0,4148544,25.556349072924544,0.0,2462372.0,USABLE,10
Bwd IAT Max,16232929,16232929,0,0.0,0,0,0.0,9337690,57.52313707526226,0.0,120000000.0,USABLE,10
Bwd IAT Mean,16232929,16232929,0,0.0,0,0,0.0,9337690,57.52313707526226,0.0,120000000.0,USABLE,10
Bwd IAT Min,16232929,16232929,0,0.0,0,0,0.0,9950673,61.299307105944955,0.0,120000000.0,USABLE,10
Bwd IAT Std,16232929,16232929,0,0.0,0,0,0.0,10484370,64.58705018669151,0.0,84837189.5109486,USABLE,10
Bwd IAT Tot,16232929,16232929,0,0.0,0,0,0.0,9337690,57.52313707526226,0.0,120000000.0,USABLE,10
Bwd Pkt Len Max,16232929,16232929,0,0.0,0,0,0.0,6007251,37.006574722282096,0.0,65160.0,USABLE,10
Bwd Pkt Len Mean,16232929,16232929,0,0.0,0,0,0.0,6007251,37.006574722282096,0.0,33879.28358,USABLE,10
Bwd Pkt Len Min,16232929,16232929,0,0.0,0,0,0.0,12019919,74.04651988559797,0.0,1460.0,USABLE,10
Bwd Pkt Len Std,16232929,16232929,0,0.0,0,0,0.0,10187178,62.75625304589209,0.0,22448.41352658228,USABLE,10
Bwd Pkts/s,16232929,16232929,0,0.0,0,0,0.0,4138932,25.497136099098324,0.0,2000000.0,USABLE,10
Bwd Seg Size Avg,16232929,16232929,0,0.0,0,0,0.0,6007251,37.006574722282096,0.0,33879.28358,USABLE,10
Down/Up Ratio,16232929,16232929,0,0.0,0,0,0.0,8476659,52.21891255730866,0.0,311.0,USABLE,10
Dst Port,16232929,16232929,0,0.0,0,0,0.0,238323,1.4681453975434748,0.0,65535.0,USABLE,10
ECE Flag Cnt,16232929,16232929,0,0.0,0,0,0.0,13190898,81.26012255705672,0.0,1.0,USABLE,10
Flow Duration,16232929,16232929,0,0.0,0,0,0.0,95760,0.5899120238867551,0.0,120000000.0,USABLE,10
Flow IAT Max,16232929,16232929,0,0.0,0,0,0.0,95760,0.5899120238867551,0.0,120000000.0,USABLE,10
Flow IAT Mean,16232929,16232929,0,0.0,0,0,0.0,95760,0.5899120238867551,0.0,120000000.0,USABLE,10
Flow IAT Min,16232929,16232929,0,0.0,0,0,0.0,883358,5.441765931459443,-2228.0,120000000.0,USABLE,10
Flow IAT Std,16232929,16232929,0,0.0,0,0,0.0,7829420,48.231714683160384,0.0,84808080.04608749,USABLE,10
Fwd Act Data Pkts,16232929,16232929,0,0.0,0,0,0.0,8675474,53.44367612277489,0.0,309628.0,USABLE,10
Fwd Header Len,16232929,16232929,0,0.0,0,0,0.0,238299,1.4679975499184406,0.0,2477032.0,USABLE,10
Fwd IAT Max,16232929,16232929,0,0.0,0,0,0.0,4591176,28.283102821431672,0.0,120000000.0,USABLE,10
Fwd IAT Mean,16232929,16232929,0,0.0,0,0,0.0,4591176,28.283102821431672,0.0,120000000.0,USABLE,10
Fwd IAT Min,16232929,16232929,0,0.0,0,0,0.0,4725323,29.10949096124304,-2171.0,120000000.0,USABLE,10
Fwd IAT Std,16232929,16232929,0,0.0,0,0,0.0,8793854,54.172934533256445,0.0,84808080.04608749,USABLE,10
Fwd IAT Tot,16232929,16232929,0,0.0,0,0,0.0,4591176,28.283102821431672,0.0,120000000.0,USABLE,10
Fwd PSH Flags,16232929,16232929,0,0.0,0,0,0.0,15520377,95.61045329527407,0.0,1.0,USABLE,10
Fwd Pkt Len Max,16232929,16232929,0,0.0,0,0,0.0,5031596,30.996229947164807,0.0,64440.0,USABLE,10
Fwd Pkt Len Mean,16232929,16232929,0,0.0,0,0,0.0,5031596,30.996229947164807,0.0,16529.3138401559,USABLE,10
Fwd Pkt Len Min,16232929,16232929,0,0.0,0,0,0.0,11996457,73.90198651149154,0.0,1460.0,USABLE,10
Fwd Pkt Len Std,16232929,16232929,0,0.0,0,0,0.0,9238073,56.90946470596896,0.0,18401.5827717299,USABLE,10
Fwd Pkts/s,16232929,16232929,0,0.0,0,0,0.0,95760,0.5899120238867551,0.0,6000000.0,USABLE,10
Fwd Seg Size Avg,16232929,16232929,0,0.0,0,0,0.0,5031596,30.996229947164807,0.0,16529.3138401559,USABLE,10
Fwd Seg Size Min,16232929,16232929,0,0.0,0,0,0.0,238299,1.4679975499184406,0.0,56.0,USABLE,10
Idle Max,16232929,16232929,0,0.0,0,0,0.0,13885515,85.53918396365808,0.0,120000000.0,USABLE,10
Idle Mean,16232929,16232929,0,0.0,0,0,0.0,13885515,85.53918396365808,0.0,120000000.0,USABLE,10
Idle Min,16232929,16232929,0,0.0,0,0,0.0,13885515,85.53918396365808,0.0,120000000.0,USABLE,10
Idle Std,16232929,16232929,0,0.0,0,0,0.0,14945286,92.06771002324966,0.0,76393949.17038548,USABLE,10
Init Bwd Win Byts,16232929,16232929,0,0.0,0,0,0.0,1114835,6.867737793961891,-1.0,65535.0,USABLE,10
Init Fwd Win Byts,16232929,16232929,0,0.0,0,0,0.0,77743,0.47892157970998334,-1.0,65535.0,USABLE,10
PSH Flag Cnt,16232929,16232929,0,0.0,0,0,0.0,9868248,60.79154291871788,0.0,1.0,USABLE,10
Pkt Len Max,16232929,16232929,0,0.0,0,0,0.0,5026239,30.96322912519361,0.0,65160.0,USABLE,10
Pkt Len Mean,16232929,16232929,0,0.0,0,0,0.0,5026239,30.96322912519361,0.0,17344.98473,USABLE,10
