Feature_A,Feature_B,Correlation,Abs_Correlation
Fwd PSH Flags,SYN Flag Cnt,1.0,1.0
Bwd Pkt Len Mean,Bwd Seg Size Avg,1.0,1.0
Fwd Pkt Len Mean,Fwd Seg Size Avg,1.0,1.0
Tot Bwd Pkts,Subflow Bwd Pkts,1.0,1.0
Fwd URG Flags,CWE Flag Count,1.0,1.0
TotLen Fwd Pkts,Subflow Fwd Byts,1.0,1.0
Tot Fwd Pkts,Subflow Fwd Pkts,1.0,1.0
TotLen Bwd Pkts,Subflow Bwd Byts,0.9999999970237502,0.9999999970237502
RST Flag Cnt,ECE Flag Cnt,0.9999805024699984,0.9999805024699984
Bwd Header Len,Subflow Bwd Pkts,0.9997377800934799,0.9997377800934799
Tot Bwd Pkts,Bwd Header Len,0.9997377800934798,0.9997377800934798
Tot Fwd Pkts,Fwd Act Data Pkts,0.9997080554796283,0.9997080554796283
Subflow Fwd Pkts,Fwd Act Data Pkts,0.9997080554796283,0.9997080554796283
Tot Fwd Pkts,Fwd Header Len,0.9984946269168447,0.9984946269168447
Fwd Header Len,Subflow Fwd Pkts,0.9984946269168447,0.9984946269168447
Fwd Header Len,Fwd Act Data Pkts,0.9970103961913468,0.9970103961913468
Idle Mean,Idle Min,0.9966962565752381,0.9966962565752381
Bwd Header Len,Subflow Bwd Byts,0.996309003972542,0.996309003972542
TotLen Bwd Pkts,Bwd Header Len,0.9963087903441058,0.9963087903441058
Tot Bwd Pkts,Subflow Bwd Byts,0.996273583273833,0.996273583273833
Subflow Bwd Pkts,Subflow Bwd Byts,0.996273583273833,0.996273583273833
Tot Bwd Pkts,TotLen Bwd Pkts,0.9962733671859578,0.9962733671859578
TotLen Bwd Pkts,Subflow Bwd Pkts,0.9962733671859577,0.9962733671859577
Flow Duration,Fwd IAT Tot,0.9962090749931777,0.9962090749931777
Idle Mean,Idle Max,0.995816545408926,0.995816545408926
Pkt Len Mean,Pkt Size Avg,0.9930492614317229,0.9930492614317229
Flow IAT Mean,Flow IAT Min,0.9924196352789764,0.9924196352789764
Flow IAT Mean,Fwd IAT Mean,0.9911367825193756,0.9911367825193756
Flow IAT Max,Fwd IAT Max,0.9909314182142813,0.9909314182142813
Flow IAT Mean,Fwd IAT Min,0.9895023205190537,0.9895023205190537
Flow IAT Min,Fwd IAT Min,0.9887491343895378,0.9887491343895378
Fwd IAT Mean,Fwd IAT Min,0.9872272514900434,0.9872272514900434
Idle Max,Idle Min,0.9857395646902387,0.9857395646902387
Flow IAT Min,Fwd IAT Mean,0.9757572884851399,0.9757572884851399
Subflow Fwd Byts,Fwd Act Data Pkts,0.9725832251915649,0.9725832251915649
TotLen Fwd Pkts,Fwd Act Data Pkts,0.9725832251915649,0.9725832251915649
TotLen Fwd Pkts,Subflow Fwd Pkts,0.9723834379458479,0.9723834379458479
Tot Fwd Pkts,TotLen Fwd Pkts,0.9723834379458477,0.9723834379458477
Tot Fwd Pkts,Subflow Fwd Byts,0.9723834379458477,0.9723834379458477
Subflow Fwd Pkts,Subflow Fwd Byts,0.9723834379458477,0.9723834379458477
Fwd Header Len,Subflow Fwd Byts,0.9717463358780736,0.9717463358780736
TotLen Fwd Pkts,Fwd Header Len,0.9717463358780734,0.9717463358780734
Bwd Pkt Len Max,Bwd Pkt Len Std,0.9698304636547211,0.9698304636547211
Pkt Len Max,Pkt Len Std,0.9665767332771783,0.9665767332771783
Fwd Pkt Len Max,Fwd Pkt Len Std,0.9620509931742286,0.9620509931742286
Bwd Pkt Len Max,Pkt Len Max,0.9609280131730141,0.9609280131730141
Bwd Pkt Len Std,Pkt Len Max,0.9558137062625971,0.9558137062625971
