,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Flow ID,Src IP,Src Port,Dst IP
Dst Port,1.0,-0.13603980147699843,-0.0118304738189731,-0.014631110163076605,-0.017471798464032184,-0.014650388785940115,-0.008428175885045252,-0.06860274066951867,-0.06149937398925867,-0.0719468185942835,-0.06611584758791086,-0.2001150362538669,-0.12611320029699413,-0.19677607182706655,-0.19402642900441502,0.10833563225769638,-0.013595268777727093,0.15067206399593622,-0.06649229289561875,0.06941835873142993,0.1673801213127167,-0.007284218979608329,0.12676364146994593,-0.06996705597882,0.0756894132263478,0.13857196066202057,-0.07957866226400918,-0.04987219283057928,-0.07513495621534363,-0.0713514844360632,-0.028646258613569526,0.1616133171243471,,0.007545873840041904,,-0.014822012256658166,-0.018981967282372763,0.06925867036448637,-0.12180294715802127,-0.0678708756088651,-0.1777792658926795,-0.16916402816875406,-0.18944727575715972,-0.032598124159996994,0.09392493146143502,0.1616133171243471,-0.12000508579487765,-0.31726974115980827,0.48500944725601375,0.4835843248709818,0.007545873840041904,-0.12000508579487765,-0.14375759389715156,-0.17928179790496362,-0.0719468185942835,-0.19677607182706655,,,,,,,-0.014631110163076605,-0.014650388785940115,-0.017471798464032184,-0.008428175885045252,-0.11012276662158559,-0.01037320102531809,-0.014585024374235415,-0.08615925301729084,-0.02344118128228752,-0.019005288308939546,-0.0263877876175525,-0.01912159647294388,0.09808926751166562,-0.0341342656110315,0.08823732216564628,0.10390250626178345,,,-0.24489243336096697,
Protocol,-0.13603980147699843,1.0,-0.10136646289557777,0.09766500071424548,-0.020604848304541994,0.0960625318381099,-0.010021816665215797,-0.09834389371092377,0.5142026828485721,0.08762692945925278,-0.1944244549234329,-0.201160117937711,0.8360485495284173,-0.0052958137572618625,-0.2678709491186368,-0.0026979196320748747,-0.17439988164568662,-0.105989956037206,-0.037316264996858035,-0.11634887463605807,-0.10744387164477012,-0.09606586378210959,-0.10497820462770163,-0.033502274854524776,-0.10939781339669943,-0.1048536288926964,-0.09225996591210606,-0.05256899786517249,-0.08857363811872504,-0.08267815351417462,-0.028073367023870376,-0.06865996517925498,,-0.005611210135197714,,0.09716300083938635,-0.02804019910717418,-0.1623578251812968,-0.16914442997081683,0.5302295444640799,-0.18820456150486584,0.03428746977485592,-0.2069465021512242,-0.04313205306882778,-0.01990126519006042,-0.06865996517925498,-0.23903906330604144,-0.48943722065147105,-0.21991235401375261,-0.05872415308937705,-0.005611210135197714,-0.23903906330604144,0.1459222615888091,0.10699782579545747,0.08762692945925278,-0.0052958137572618625,,,,,,,0.09766500071424548,0.0960625318381099,-0.020604848304541994,-0.010021816665215797,-0.3400181469889712,-0.11483608776184576,0.0978305082935207,-0.5561248472716634,-0.04321244153775455,-0.05485805131665599,-0.05345669830715072,-0.027412384385046493,-0.11509692904013201,0.041655865789788415,-0.10051045349883678,-0.1226103996171865,,,0.24920972147185635,
Flow Duration,-0.0118304738189731,-0.10136646289557777,1.0,0.16163694554150668,0.09732010941402021,0.16026017796454375,0.06392833577427852,0.1672354463672135,0.11248460161804201,0.1324940247534821,0.10424642887527574,0.16722638559054515,-0.11104306608070609,0.16808974373759034,0.10843158237633284,-0.0170585245175042,-0.1518452813577357,0.5373071828699226,0.5353717113883215,0.7803183699310234,0.43767275228874886,0.996738862127789,0.5831079661602431,0.6225672784145314,0.7792605893583059,0.48642566918645147,0.7764318687618769,0.4153052978164354,0.5546522902307699,0.5932131512467599,0.2654853652173923,0.08332834312476424,,-0.004687903907465626,,0.1627161382563411,0.10516550603991748,-0.14126898851552058,-0.14741430136775835,0.1145079004221647,0.17723161245921748,0.257759933798668,0.15616798979739907,0.04029659933554646,-0.017113618405828365,0.08332834312476424,-0.019806534799964554,-0.049414901305922784,0.03781888309995912,-0.0458334057623203,-0.004687903907465626,-0.019806534799964554,-0.12247001734806136,0.2319336745023001,0.1324940247534821,0.16808974373759034,,,,,,,0.16163694554150668,0.16026017796454375,0.09732010941402021,0.06392833577427852,-0.01981526331688222,-0.03431045151849844,0.16116036807266051,-0.13584899993846528,0.22325785777501356,0.19049588650746357,0.2570027278751134,0.17856826578498777,0.7307093365197573,0.3684363359775744,0.763675830603251,0.691368799906368,,,-0.27632342673426624,
Tot Fwd Pkts,-0.014631110163076605,0.09766500071424548,0.16163694554150668,1.0,0.0007208381613121444,0.9866173566340365,0.002591186272251728,-0.012902300646982072,0.026842565655278625,-0.0027997485834471278,-0.01983903552726613,-0.029003400718858652,-0.015126823891529962,-0.02652440560829697,-0.02770246340936976,-0.0017283917192999953,-0.01863843814209887,-0.008989592391249825,-0.008405624489064692,-0.010631418013901188,-0.0074290468907482685,0.1626019698374313,-0.009311984570620107,-0.008969910719892319,-0.009889148813405562,-0.007892224345099504,-0.009645012453816314,-0.006145435735606081,-0.009326469079793096,-0.008783112590632403,-0.003502506666188675,-0.007032093086923986,,-0.0005932943832547202,,0.9999737319716848,0.0004878721816694211,-0.01726667409516825,-0.018189945013508225,0.027802979115407477,-0.02562166871449343,-0.013888212529270657,-0.029578370074893015,-0.004252223192162494,-0.0021071525874849168,-0.007032093086923986,-0.024813736135009663,-0.051041219417662244,-0.02314157433366559,-0.006233744701623996,-0.0005932943832547202,-0.024813736135009663,-0.03337461170121074,-0.016804572495308593,-0.0027997485834471278,-0.02652440560829697,,,,,,,1.0,0.9866173566340365,0.0007208381613121444,0.002591186272251728,-0.03570342379986397,-0.01164833193553687,0.9999913042155769,-0.05965947788117969,-0.002722971137022173,-0.0019084343331176993,-0.0029405655003846174,-0.002339950378437442,-0.01038211529249374,-0.004717678424381071,-0.010744066572841281,-0.00990449432294482,,,-0.2261274557211519,
Tot Bwd Pkts,-0.017471798464032184,-0.020604848304541994,0.09732010941402021,0.0007208381613121444,1.0,0.017419859966309733,0.9829020722869323,0.14501156132211068,-0.01301516443688522,0.10238953123876131,0.11410593453025664,0.09988938018445553,-0.014787163903380635,0.20046017686670778,0.05580288946544988,-0.0006628172340606735,-0.02523858633208637,-0.011267955748196843,0.01808737231602877,0.03287094655130705,-0.013060971180530056,0.09637325698976106,-0.00766091910250212,0.04323252269687897,0.03219609679099185,-0.012758084161157052,0.13151131149627177,0.006689807318422903,0.036753303809362446,0.06546670468237438,-0.0021303284784177324,0.019116277557121135,,-0.0010430133766532734,,0.006903315953098243,0.9995814386760519,-0.02390904410336628,-0.023948004201477923,-0.013248962215454069,0.13662899748927088,0.23362175211774544,0.1325928454138463,0.14301659714729809,-0.003206687717032405,0.019116277557121135,0.02642792826945902,0.03850963465610096,-0.023755219195405308,-0.008332034940445085,-0.0010430133766532734,0.02642792826945902,0.14789555881628944,0.21628819952002243,0.10238953123876131,0.20046017686670778,,,,,,,0.0007208381613121455,0.017419859966309733,1.0,0.9829020722869323,-0.00846735117533916,0.026769658821831067,-0.002859943864146239,-0.012970341876376254,0.016340352575343327,0.014673996194377243,0.026534048903074352,0.014317464901327572,0.034727934889884814,0.013191647417754996,0.034378856769966284,0.03315185580667816,,,-0.19056478573300908,
TotLen Fwd Pkts,-0.014650388785940115,0.0960625318381099,0.16026017796454375,0.9866173566340365,0.017419859966309733,1.0,4.9817665434919495e-05,0.09957798751884082,0.027480899852521914,0.10696503485147436,0.07438654173673945,-0.024824387862745434,-0.015410363837021978,-0.02521609360329308,-0.026549562660659113,0.0014636229852193984,-0.01908483263493454,-0.009054847901229407,-0.007820575228627044,-0.010166307343948593,-0.007622885815456447,0.16121219080173338,-0.009342794377893726,-0.007953251798230572,-0.009421552550569952,-0.008083748524456246,-0.008496326842682912,-0.0056283965542275665,-0.00835261036352448,-0.0079693930795571,-0.0032623718594517784,-0.007137472326371958,,-0.0006104355675756348,,0.9866572348295928,0.020133252323709334,-0.0176886613540941,-0.018615075052204107,0.028085761684272893,0.039186461682899555,0.00541441108333072,0.00501305937029998,0.15562684573845792,-0.00216503032662484,-0.007137472326371958,-0.024145302734024928,-0.04927730605087905,-0.0236364666739496,-0.006376615316350116,-0.0006104355675756348,-0.024145302734024928,-0.03169874776287036,0.001233709059245752,0.10696503485147436,-0.02521609360329308,,,,,,,0.9866173566340365,1.0,0.017419859966309733,4.9817665434919495e-05,-0.03497826818033054,-0.010337262918575101,0.9866196435342995,-0.05919828840821249,-0.0024676801339611944,-0.001986867515408733,-0.00272222547071915,-0.002011117849322671,-0.01011960026529472,-0.0036194947178205326,-0.010290978584835188,-0.00978011690241265,,,-0.2383528645611335,
TotLen Bwd Pkts,-0.008428175885045252,-0.010021816665215797,0.06392833577427852,0.002591186272251728,0.9829020722869323,4.9817665434919495e-05,1.0,0.032422309146754695,-0.005810705241171269,0.003486122552822827,0.0147289469601577,0.05714176074653515,-0.006355166895095915,0.1712611963134225,0.02197915170468942,-0.0009853584504717332,-0.012013457487583036,-0.004806593444500522,0.006234744818786025,0.024407458563918488,-0.0047932573639320065,0.06351879809624608,-0.0036291731654627536,0.02088364355739868,0.024201644675866253,-0.005085511648586958,0.08332597882104965,-0.0009423463935587675,0.013179992156273355,0.04191092665957722,-0.0022442787209455885,0.016155235853823675,,-0.00038240122330237425,,0.008670136983661382,0.9798065112763737,-0.011181753151638869,-0.011662020706833556,-0.005866574337666803,0.05230626402183654,0.19098969168164534,0.07246740141879011,0.022389502323856964,-0.0013562614784655186,0.016155235853823675,0.0009456203764190134,0.01389288203495004,-0.006333348053139556,-0.0039955947767536994,-0.00038240122330237425,0.0009456203764190134,0.06426975486602553,0.1765715449125552,0.003486122552822827,0.1712611963134225,,,,,,,0.002591186272251728,4.981766543491961e-05,0.9829020722869323,1.0,-0.008125935839313281,0.00164901601175659,-0.0010092168298941936,-0.00700005109757232,0.009612498803905372,0.011684063329628444,0.018844643278758365,0.007603062172062373,0.02580522199557526,0.008257236872641903,0.02539520447246471,0.02485929853109748,,,-0.0544057544357502,
Fwd Pkt Len Max,-0.06860274066951867,-0.09834389371092377,0.1672354463672135,-0.012902300646982072,0.14501156132211068,0.09957798751884082,0.032422309146754695,1.0,0.031544981128240286,0.8790313445955747,0.9460428810436786,0.4895341161461335,-0.10096138111151404,0.352546078834751,0.408845182813642,0.02047057110381682,-0.1908959374496382,-0.05302175375231479,0.10434137579032227,0.057063351180353265,-0.07365336154693605,0.16251775356380602,-0.0379379131649901,0.1908809579188063,0.054922087215178175,-0.06939240584140227,0.2308324684316734,0.047255432078364086,0.16603734337293954,0.13678279102912738,-0.011045240019166267,-0.0290193011256062,,-0.006152321225599793,,-0.011679122690554527,0.16354530564851466,-0.1763528790875494,-0.1868688966811955,0.026324779881798058,0.7393133801361602,0.5115544342534911,0.5810872216559985,0.7404652025395866,-0.021820422563944133,-0.0290193011256062,0.27815084477863433,0.26893791093157343,-0.20770276516485842,-0.060962825379851766,-0.006152321225599793,0.27815084477863433,-0.02159281232574478,0.4944941911434585,0.8790313445955747,0.352546078834751,,,,,,,-0.01290230064698207,0.09957798751884082,0.14501156132211068,0.03242230914675471,0.037925418442687465,0.4384260386465012,-0.013143997910375167,-0.08788403266443308,0.03323393085829381,0.01428028983117249,0.038405512119649626,0.03363492159343162,0.039895366970691584,0.07930701484572826,0.05045775426965707,0.029285401457274176,,,-0.2698836721364555,
Fwd Pkt Len Min,-0.06149937398925867,0.5142026828485721,0.11248460161804201,0.026842565655278625,-0.01301516443688522,0.027480899852521914,-0.005810705241171269,0.031544981128240286,1.0,0.3796362734930392,-0.10998514125388661,-0.12309375152237975,0.3633038703210066,-0.03138628415429132,-0.1512167833844922,0.08891905313010924,-0.09608478900931491,0.041994620092464525,0.13762001650639866,0.08387688261040294,-0.012068624483097224,0.11571807048426096,0.03544276442678006,0.19149518874487348,0.08809373572686145,-0.011722954180707793,-0.05243270719067234,-0.022484617497488608,-0.051763876557305716,-0.042543235934516005,-0.006465298326242128,-0.00737247553717124,,-0.003190537553132426,,0.02655091385838991,-0.01632588600968431,-0.08971251529447057,-0.0929374506935719,0.9733713900328158,-0.06391774793858129,0.26635520383461564,-0.12604025838093005,-0.024160655414904662,-0.011315871695027584,-0.00737247553717124,-0.13591775922978178,-0.2782943063554119,-0.11018616167033395,-0.010100816568980838,-0.003190537553132426,-0.13591775922978178,0.017866963372450948,0.32890639183038556,0.3796362734930392,-0.03138628415429132,,,,,,,0.02684256565527863,0.027480899852521914,-0.01301516443688522,-0.005810705241171269,-0.19298149849935223,-0.06517825962549209,0.026915934234091266,-0.3132880096757577,0.08717516715656674,-0.006815202826347808,0.06629530079019261,0.1015432807071381,0.03237833458905534,0.3600799440566639,0.09851354671166491,-0.015702309088164026,,,-0.17613976458356956,
Fwd Pkt Len Mean,-0.0719468185942835,0.08762692945925278,0.1324940247534821,-0.0027997485834471278,0.10238953123876131,0.10696503485147436,0.003486122552822827,0.8790313445955747,0.3796362734930392,1.0,0.8343989435163087,0.32234674929357043,0.033361100654808636,0.2481968061679035,0.2710314914502505,0.06583451400000563,-0.20904630475413943,-0.03184410730686761,0.15086751327124637,0.079756058497393,-0.07250597333440562,0.12920164931279934,-0.021470525421917203,0.21901394498144616,0.07871709181405391,-0.060209724041271215,0.11500991684188965,0.07089005753215738,0.1479747847127397,0.11208080594000475,0.025516964528895583,0.00022280552827609116,,-0.006820222231906576,,-0.001989277144720753,0.11742935965677928,-0.19231066856609697,-0.2056654547108914,0.3631425798559067,0.6026912926463827,0.5317719481755799,0.4532878555138001,0.6938411519932817,-0.024189265420824512,0.00022280552827609116,0.20487240318085037,0.139634326612152,-0.215397509168983,-0.05933427688627888,-0.006820222231906576,0.20487240318085037,0.006706985007085306,0.545328944792925,1.0,0.2481968061679035,,,,,,,-0.0027997485834471286,0.10696503485147436,0.1023895312387613,0.003486122552822827,0.024760922255019482,0.2726781181060377,-0.002871641650621632,-0.17926791607861794,0.07864241942184858,0.0185722339501391,0.07132581323547835,0.08212757671622693,0.033962488602955754,0.2575322084171246,0.07979999769344709,0.0008079684151532612,,,-0.283400244446633,
