Feature,Count,Missing,Missing_%,Zero,Zero_%,Min,Max,Mean,Std,Status
ACK Flag Cnt,16232929,0,0.0,10850052,66.83976748743248,0.0,1.0,0.3316023251256751,0.47078893688883683,USABLE
Active Max,16232929,0,0.0,14605572,89.97496385279577,0.0,114000000.0,262392.26164027455,3319231.4045824697,USABLE
Active Mean,16232929,0,0.0,14605572,89.97496385279577,0.0,114000000.0,172877.7323317676,2505927.717341503,USABLE
Active Min,16232929,0,0.0,14605572,89.97496385279577,0.0,114000000.0,115465.75855059798,2114145.735992342,USABLE
Active Std,16232929,0,0.0,15107371,93.06620511923633,0.0,75232413.85230836,86441.04361931875,1514575.9527846288,USABLE
Bwd Blk Rate Avg,16232929,0,0.0,16232929,100.0,0.0,0.0,0.0,0.0,CONSTANT
Bwd Byts/b Avg,16232929,0,0.0,16232929,100.0,0.0,0.0,0.0,0.0,CONSTANT
Bwd Header Len,16232929,0,0.0,4148544,25.556349072924544,0.0,2462372.0,133.0936015305679,3265.4977851185445,USABLE
Bwd IAT Max,16232929,0,0.0,9337690,57.52313707526226,0.0,120000000.0,2612949.055738986,10244260.319938676,USABLE
Bwd IAT Mean,16232929,0,0.0,9337690,57.52313707526226,0.0,120000000.0,824200.5192254052,4340499.084527051,USABLE
Bwd IAT Min,16232929,0,0.0,9950673,61.299307105944955,0.0,120000000.0,291230.6681847127,3825445.2785524186,USABLE
Bwd IAT Std,16232929,0,0.0,10484370,64.58705018669151,0.0,84837189.5109486,851174.8313263523,3376931.4406452505,USABLE
Bwd IAT Tot,16232929,0,0.0,9337690,57.52313707526226,0.0,120000000.0,7597380.747239823,25862885.51494114,USABLE
Bwd PSH Flags,16232929,0,0.0,16232929,100.0,0.0,0.0,0.0,0.0,CONSTANT
Bwd Pkt Len Max,16232929,0,0.0,6007251,37.006574722282096,0.0,65160.0,350.1498348203211,497.4234649205917,USABLE
Bwd Pkt Len Mean,16232929,0,0.0,6007251,37.006574722282096,0.0,33879.28358,113.07600791277385,164.10567452579744,USABLE
Bwd Pkt Len Min,16232929,0,0.0,12019919,74.04651988559797,0.0,1460.0,26.478071271056503,50.97874378802888,USABLE
Bwd Pkt Len Std,16232929,0,0.0,10187178,62.75625304589209,0.0,22448.41352658228,131.56584936820084,204.25921040963038,USABLE
Bwd Pkts/b Avg,16232929,0,0.0,16232929,100.0,0.0,0.0,0.0,0.0,CONSTANT
Bwd Pkts/s,16232929,0,0.0,4138932,25.497136099098324,0.0,2000000.0,15315.975078079797,92419.93811434077,USABLE
Bwd Seg Size Avg,16232929,0,0.0,6007251,37.006574722282096,0.0,33879.28358,113.07600791277402,164.10567452579875,USABLE
Bwd URG Flags,16232929,0,0.0,16232929,100.0,0.0,0.0,0.0,0.0,CONSTANT
CWE Flag Count,16232929,0,0.0,16230270,99.98361971520976,0.0,1.0,0.0001638028479025566,0.012797500401624359,MOSTLY_ZERO
Down/Up Ratio,16232929,0,0.0,8476659,52.21891255730866,0.0,311.0,0.49643671822873126,0.9967275561991492,USABLE
Dst IP,7948748,7948748,100.0,0,0.0,inf,-inf,0.0,0.0,HIGH_MISSING
Dst Port,16232929,0,0.0,238323,1.4681453975434748,0.0,65535.0,9164.08083747548,18922.2481968583,USABLE
ECE Flag Cnt,16232929,0,0.0,13190898,81.26012255705672,0.0,1.0,0.18739877442943292,0.39023130803637407,USABLE
