Feature,Status,NaN_%,Inf_%,Zero_%,Min,Max,Decision,Reason
Bwd Blk Rate Avg,CONSTANT,0.0,0.0,100.0,0.0,0.0,REMOVE,Constant across dataset; contains no variance
Bwd Byts/b Avg,CONSTANT,0.0,0.0,100.0,0.0,0.0,REMOVE,Constant across dataset; contains no variance
Bwd PSH Flags,CONSTANT,0.0,0.0,100.0,0.0,0.0,REMOVE,Constant across dataset; contains no variance
Bwd Pkts/b Avg,CONSTANT,0.0,0.0,100.0,0.0,0.0,REMOVE,Constant across dataset; contains no variance
Bwd URG Flags,CONSTANT,0.0,0.0,100.0,0.0,0.0,REMOVE,Constant across dataset; contains no variance
Fwd Blk Rate Avg,CONSTANT,0.0,0.0,100.0,0.0,0.0,REMOVE,Constant across dataset; contains no variance
Fwd Byts/b Avg,CONSTANT,0.0,0.0,100.0,0.0,0.0,REMOVE,Constant across dataset; contains no variance
Fwd Pkts/b Avg,CONSTANT,0.0,0.0,100.0,0.0,0.0,REMOVE,Constant across dataset; contains no variance
Flow Byts/s,HAS_INFINITY,0.3679003339446627,0.2220116899420924,30.77688533843824,0.0,1806642857.14286,CANDIDATE,Candidate traffic-behaviour feature
Flow Pkts/s,HAS_INFINITY,0.0,0.5899120238867551,0.0,0.016666673333336,6000000.0,CANDIDATE,Candidate traffic-behaviour feature
CWE Flag Count,MOSTLY_ZERO,0.0,0.0,99.98361971520976,0.0,1.0,REMOVE,Extremely sparse; remove from initial model
FIN Flag Cnt,MOSTLY_ZERO,0.0,0.0,99.52045622820133,0.0,1.0,REMOVE,Extremely sparse; remove from initial model
Fwd URG Flags,MOSTLY_ZERO,0.0,0.0,99.98361971520976,0.0,1.0,REMOVE,Extremely sparse; remove from initial model
Dst IP,NON_NUMERIC,100.0,0.0,0.0,,,REMOVE,Identifier/address field; not used as behavioural state feature
Flow ID,NON_NUMERIC,100.0,0.0,0.0,,,REMOVE,Identifier/address field; not used as behavioural state feature
