Source_File,Split,Target_Attack,Samples
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,0,354
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,1,674
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,1,84
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,0,901
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,1,191
Thuesday-20-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,0,1279
Thuesday-20-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,1,151
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,0,809
Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,1,310
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,0,1006
Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,1,118
Thursday-22-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,0,948
Thursday-22-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,1,129
Wednesday-14-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,0,686
Wednesday-14-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,1,380
Wednesday-21-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,0,48
Wednesday-21-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,1,97
Wednesday-28-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,VALIDATION,0,852
Wednesday-28-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,VALIDATION,1,266
