Source_File,Segment_ID,Episode_ID,Split,Start_Window,End_Window,Duration_Seconds,Duration_Minutes,Attack_Windows,Dominant_Attack_Types,Attack_Types
Wednesday-14-02-2018,Wednesday-14-02-2018__SEG_1,Wednesday-14-02-2018__EP_1,TRAIN,2018-02-14 02:01:00,2018-02-14 03:32:30,5520.0,92.0,184,SSH-Bruteforce,SSH-Bruteforce
Wednesday-14-02-2018,Wednesday-14-02-2018__SEG_2,Wednesday-14-02-2018__EP_2,TRAIN,2018-02-14 10:33:00,2018-02-14 12:10:30,5880.0,98.0,196,FTP-BruteForce,FTP-BruteForce
Thursday-15-02-2018,Thursday-15-02-2018__SEG_2,Thursday-15-02-2018__EP_1,TRAIN,2018-02-15 09:27:30,2018-02-15 09:31:00,240.0,4.0,8,DoS attacks-GoldenEye,DoS attacks-GoldenEye
Thursday-15-02-2018,Thursday-15-02-2018__SEG_2,Thursday-15-02-2018__EP_2,TRAIN,2018-02-15 09:37:30,2018-02-15 09:40:30,210.0,3.5,7,DoS attacks-GoldenEye,DoS attacks-GoldenEye
Thursday-15-02-2018,Thursday-15-02-2018__SEG_2,Thursday-15-02-2018__EP_3,TRAIN,2018-02-15 09:49:00,2018-02-15 09:57:00,510.0,8.5,17,DoS attacks-GoldenEye,DoS attacks-GoldenEye
Thursday-15-02-2018,Thursday-15-02-2018__SEG_2,Thursday-15-02-2018__EP_4,TRAIN,2018-02-15 10:02:30,2018-02-15 10:02:30,30.0,0.5,1,DoS attacks-GoldenEye,DoS attacks-GoldenEye
Thursday-15-02-2018,Thursday-15-02-2018__SEG_2,Thursday-15-02-2018__EP_5,TRAIN,2018-02-15 11:00:00,2018-02-15 11:42:00,2550.0,42.5,85,DoS attacks-Slowloris,DoS attacks-Slowloris
Friday-16-02-2018,Friday-16-02-2018__SEG_1,Friday-16-02-2018__EP_1,TRAIN,2018-02-16 10:16:30,2018-02-16 10:58:00,2520.0,42.0,84,DoS attacks-SlowHTTPTest,DoS attacks-SlowHTTPTest
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,Thuesday-20-02-2018__EP_1,TRAIN,2018-02-20 01:14:00,2018-02-20 01:15:00,90.0,1.5,3,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,Thuesday-20-02-2018__EP_2,TRAIN,2018-02-20 01:16:00,2018-02-20 01:17:00,90.0,1.5,3,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,Thuesday-20-02-2018__EP_3,TRAIN,2018-02-20 01:18:00,2018-02-20 01:19:00,90.0,1.5,3,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,Thuesday-20-02-2018__EP_4,TRAIN,2018-02-20 01:20:00,2018-02-20 01:21:00,90.0,1.5,3,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,Thuesday-20-02-2018__EP_5,TRAIN,2018-02-20 01:22:00,2018-02-20 01:23:00,90.0,1.5,3,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,Thuesday-20-02-2018__EP_6,TRAIN,2018-02-20 01:24:00,2018-02-20 01:25:00,90.0,1.5,3,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,Thuesday-20-02-2018__EP_7,TRAIN,2018-02-20 01:26:00,2018-02-20 01:27:00,90.0,1.5,3,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,Thuesday-20-02-2018__EP_8,TRAIN,2018-02-20 01:28:00,2018-02-20 01:29:00,90.0,1.5,3,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,Thuesday-20-02-2018__EP_9,TRAIN,2018-02-20 10:13:30,2018-02-20 11:16:30,3810.0,63.5,127,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP
Wednesday-21-02-2018,Wednesday-21-02-2018__SEG_1,Wednesday-21-02-2018__EP_1,TRAIN,2018-02-21 02:15:00,2018-02-21 02:33:00,1110.0,18.5,37,DDOS attack-HOIC,DDOS attack-HOIC
Wednesday-21-02-2018,Wednesday-21-02-2018__SEG_6,Wednesday-21-02-2018__EP_2,TRAIN,2018-02-21 10:13:30,2018-02-21 10:43:00,1800.0,30.0,60,DDOS attack-LOIC-UDP,DDOS attack-LOIC-UDP
Thursday-22-02-2018,Thursday-22-02-2018__SEG_1,Thursday-22-02-2018__EP_1,TRAIN,2018-02-22 01:51:30,2018-02-22 01:51:30,30.0,0.5,1,Brute Force -XSS,Brute Force -XSS
Thursday-22-02-2018,Thursday-22-02-2018__SEG_1,Thursday-22-02-2018__EP_2,TRAIN,2018-02-22 01:52:30,2018-02-22 01:54:00,120.0,2.0,4,Brute Force -XSS,Brute Force -XSS|Brute Force -XSS|SQL Injection
Thursday-22-02-2018,Thursday-22-02-2018__SEG_1,Thursday-22-02-2018__EP_3,TRAIN,2018-02-22 01:55:00,2018-02-22 01:55:00,30.0,0.5,1,Brute Force -XSS,Brute Force -XSS
Thursday-22-02-2018,Thursday-22-02-2018__SEG_1,Thursday-22-02-2018__EP_4,TRAIN,2018-02-22 01:56:00,2018-02-22 01:56:00,30.0,0.5,1,Brute Force -XSS,Brute Force -XSS
Thursday-22-02-2018,Thursday-22-02-2018__SEG_1,Thursday-22-02-2018__EP_5,TRAIN,2018-02-22 01:57:00,2018-02-22 01:57:00,30.0,0.5,1,Brute Force -XSS,Brute Force -XSS
