Source_File,Segment_ID,Start_Window,End_Window,Windows,Duration_Seconds
Friday-02-03-2018,Friday-02-03-2018__SEG_1,2018-03-02 01:05:00,2018-03-02 05:30:00,531,15900
Friday-02-03-2018,Friday-02-03-2018__SEG_2,2018-03-02 08:51:30,2018-03-02 12:59:30,497,14880
Friday-16-02-2018,Friday-16-02-2018__SEG_1,2018-02-16 10:16:30,2018-02-16 10:58:00,84,2490
Friday-23-02-2018,Friday-23-02-2018__SEG_1,2018-02-23 01:05:00,2018-02-23 05:30:30,532,15930
Friday-23-02-2018,Friday-23-02-2018__SEG_2,2018-02-23 08:20:00,2018-02-23 12:59:30,560,16770
Thuesday-20-02-2018,Thuesday-20-02-2018__SEG_1,2018-02-20 01:05:00,2018-02-20 12:59:30,1430,42870
Thursday-01-03-2018,Thursday-01-03-2018__SEG_1,2018-03-01 01:05:00,2018-03-01 05:45:00,561,16800
Thursday-01-03-2018,Thursday-01-03-2018__SEG_2,2018-03-01 08:21:00,2018-03-01 12:59:30,558,16710
Thursday-15-02-2018,Thursday-15-02-2018__SEG_1,2018-02-15 01:05:00,2018-02-15 05:54:30,580,17370
Thursday-15-02-2018,Thursday-15-02-2018__SEG_2,2018-02-15 08:28:00,2018-02-15 12:59:30,544,16290
Thursday-22-02-2018,Thursday-22-02-2018__SEG_1,2018-02-22 01:05:00,2018-02-22 05:30:00,531,15900
Thursday-22-02-2018,Thursday-22-02-2018__SEG_2,2018-02-22 08:27:00,2018-02-22 12:59:30,546,16350
Wednesday-14-02-2018,Wednesday-14-02-2018__SEG_1,2018-02-14 01:05:00,2018-02-14 05:30:30,532,15930
Wednesday-14-02-2018,Wednesday-14-02-2018__SEG_2,2018-02-14 08:33:00,2018-02-14 12:59:30,534,15990
Wednesday-21-02-2018,Wednesday-21-02-2018__SEG_1,2018-02-21 02:15:00,2018-02-21 02:33:00,37,1080
Wednesday-21-02-2018,Wednesday-21-02-2018__SEG_2,2018-02-21 08:37:30,2018-02-21 08:46:30,19,540
Wednesday-21-02-2018,Wednesday-21-02-2018__SEG_3,2018-02-21 08:54:30,2018-02-21 08:56:00,4,90
Wednesday-21-02-2018,Wednesday-21-02-2018__SEG_4,2018-02-21 09:03:30,2018-02-21 09:03:30,1,0
Wednesday-21-02-2018,Wednesday-21-02-2018__SEG_5,2018-02-21 09:50:30,2018-02-21 10:02:00,24,690
Wednesday-21-02-2018,Wednesday-21-02-2018__SEG_6,2018-02-21 10:13:30,2018-02-21 10:43:00,60,1770
Wednesday-28-02-2018,Wednesday-28-02-2018__SEG_1,2018-02-28 01:05:00,2018-02-28 05:50:00,571,17100
Wednesday-28-02-2018,Wednesday-28-02-2018__SEG_2,2018-02-28 08:26:30,2018-02-28 12:59:30,547,16380
