Feature,Coefficient,Absolute_Coefficient
t-0_ACK_Count,4.850101395957452,4.850101395957452
t-0_Mean_Bwd_Packets_Rate,4.704730672211524,4.704730672211524
t-0_RST_Count,-2.509781884042164,2.509781884042164
t-0_Mean_Flow_Packets_Rate,1.9870680350063543,1.9870680350063543
t-0_SYN_Count,-1.3525272137676554,1.3525272137676554
t-0_Mean_Flow_IAT,-1.123087008230382,1.123087008230382
t-0_Unique_Dst_Ports,-1.0929504709381488,1.0929504709381488
t-0_Mean_Fwd_Packets_Rate,-1.017313268374775,1.017313268374775
t-0_Mean_Flow_IAT_Min,0.937135156653319,0.937135156653319
t-0_PSH_Count,0.8334346493333541,0.8334346493333541
t-0_Mean_Flow_Duration,0.7108760217738012,0.7108760217738012
t-0_Total_Fwd_Bytes,0.6837584138228162,0.6837584138228162
t-0_Total_Bwd_Pkts,-0.6773823024667773,0.6773823024667773
t-0_Mean_Flow_IAT_Max,0.5903731784902779,0.5903731784902779
t-0_Unique_Protocols,0.5251546663434425,0.5251546663434425
t-0_Min_Packet_Length,-0.2146429221650209,0.2146429221650209
t-0_Total_Bwd_Bytes,0.21206487071224275,0.21206487071224275
t-0_Flow_Count,0.18253464479785775,0.18253464479785775
t-0_Mean_Flow_Bytes_Rate,0.11816596196515644,0.11816596196515644
t-0_Mean_Flow_IAT_Std,0.11561890427652874,0.11561890427652874
t-0_Total_Fwd_Pkts,-0.044747954098465624,0.044747954098465624
t-0_Mean_Packet_Length,-0.021259234516918152,0.021259234516918152
t-0_Max_Packet_Length,0.019993475860458482,0.019993475860458482
t-0_Mean_Packet_Length_Std,0.0033944803956376442,0.0033944803956376442
