Split,Horizon,Benign_Current_Candidates,Actual_Attack_Onsets,Onset_Rate
TRAIN,+30s,4808,205,0.04263727121464226
TRAIN,+60s,4808,74,0.015391014975041598
TRAIN,+90s,4808,221,0.04596505823627288
TRAIN,+120s,4808,99,0.020590682196339433
TRAIN,+150s,4808,227,0.04721297836938436
VALIDATION,+30s,842,2,0.0023752969121140144
VALIDATION,+60s,842,4,0.004750593824228029
VALIDATION,+90s,842,6,0.007125890736342043
VALIDATION,+120s,842,8,0.009501187648456057
VALIDATION,+150s,842,10,0.011876484560570071
TEST,+30s,1148,3,0.002613240418118467
TEST,+60s,1148,6,0.005226480836236934
TEST,+90s,1148,9,0.0078397212543554
TEST,+120s,1148,12,0.010452961672473868
TEST,+150s,1148,15,0.013066202090592335
