samples,attack,benign,precision,recall,f1,pr_auc,fpr,TN,FP,FN,TP,Split,Horizon
5943,1135,4808,0.8193832599118943,0.8193832599118943,0.8193832599118943,0.7058832897401142,0.04263727121464226,4603,205,205,930,TRAIN,+30s
5943,1134,4809,0.933920704845815,0.9347442680776014,0.9343323049801675,0.8854286494526632,0.015595757953836557,4734,75,74,1060,TRAIN,+60s
5943,1134,4809,0.8044052863436123,0.8051146384479718,0.8047598060819744,0.6848250773713744,0.046163443543356206,4587,222,221,913,TRAIN,+90s
5943,1133,4810,0.9110132158590308,0.912621359223301,0.9118165784832452,0.8480683727350293,0.020997920997921,4709,101,99,1034,TRAIN,+120s
5943,1133,4810,0.798237885462555,0.7996469549867609,0.798941798941799,0.6765046916720008,0.04760914760914761,4581,229,227,906,TRAIN,+150s
1108,266,842,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.9868239924748762,0.0023752969121140144,840,2,2,264,VALIDATION,+30s
1108,266,842,0.9849624060150376,0.9849624060150376,0.9849624060150376,0.9737610495661809,0.004750593824228029,838,4,4,262,VALIDATION,+60s
1108,266,842,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.9608111712739136,0.007125890736342043,836,6,6,260,VALIDATION,+90s
1108,266,842,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.9479743575980749,0.009501187648456057,834,8,8,258,VALIDATION,+120s
1108,266,842,0.9624060150375939,0.9624060150375939,0.9624060150375939,0.9352506085386643,0.011876484560570071,832,10,10,256,VALIDATION,+150s
2127,979,1148,0.9969356486210419,0.9969356486210419,0.9969356486210419,0.9952911247270005,0.002613240418118467,1145,3,3,976,TEST,+30s
2127,979,1148,0.9938712972420838,0.9938712972420838,0.9938712972420838,0.9906010299527485,0.005226480836236934,1142,6,6,973,TEST,+60s
2127,979,1148,0.9908069458631257,0.9908069458631257,0.9908069458631257,0.9859297156772439,0.0078397212543554,1139,9,9,970,TEST,+90s
2127,979,1148,0.9877425944841676,0.9877425944841676,0.9877425944841676,0.9812771819004867,0.010452961672473868,1136,12,12,967,TEST,+120s
2127,979,1148,0.9846782431052093,0.9846782431052093,0.9846782431052093,0.9766434286224769,0.013066202090592335,1133,15,15,964,TEST,+150s
