Split,Horizon,Actual_Onsets,Predicted_Onsets,TP,FP,FN,Precision,Recall,F1
TRAIN,+30s,205,0,0,0,205,0.0,0.0,0.0
TRAIN,+60s,74,0,0,0,74,0.0,0.0,0.0
TRAIN,+90s,221,0,0,0,221,0.0,0.0,0.0
TRAIN,+120s,99,0,0,0,99,0.0,0.0,0.0
TRAIN,+150s,227,0,0,0,227,0.0,0.0,0.0
VALIDATION,+30s,2,0,0,0,2,0.0,0.0,0.0
VALIDATION,+60s,4,0,0,0,4,0.0,0.0,0.0
VALIDATION,+90s,6,0,0,0,6,0.0,0.0,0.0
VALIDATION,+120s,8,0,0,0,8,0.0,0.0,0.0
VALIDATION,+150s,10,0,0,0,10,0.0,0.0,0.0
TEST,+30s,3,0,0,0,3,0.0,0.0,0.0
TEST,+60s,6,0,0,0,6,0.0,0.0,0.0
TEST,+90s,9,0,0,0,9,0.0,0.0,0.0
TEST,+120s,12,0,0,0,12,0.0,0.0,0.0
TEST,+150s,15,0,0,0,15,0.0,0.0,0.0
