Split,Samples,Actual_Attack,Actual_Benign,Predicted_Attack,Predicted_Benign,Accuracy,Precision,Recall,F1,PR_AUC,ROC_AUC,False_Positive_Rate,TN,FP,FN,TP,Source_File
TEST,1027,673,354,673,354,0.9980525803310614,0.9985141158989599,0.9985141158989599,0.9985141158989599,0.9980041494839508,0.9978446285709488,0.002824858757062147,353,1,1,672,Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv
TRAIN,83,83,0,83,0,1.0,1.0,1.0,1.0,1.0,,,0,0,0,83,Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv
TRAIN,1091,191,900,191,900,0.842346471127406,0.5497382198952879,0.5497382198952879,0.5497382198952879,0.3810388748499369,0.7270913321698661,0.09555555555555556,814,86,86,105,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv
TRAIN,1429,151,1278,151,1278,0.9874037788663401,0.9403973509933775,0.9403973509933775,0.9403973509933775,0.8906452883221916,0.9666775487361253,0.007042253521126761,1269,9,9,142,Thuesday-20-02-2018_TrafficForML_CICFlowMeter_30s_state.csv
TEST,1118,310,808,310,808,0.9964221824686941,0.9935483870967742,0.9935483870967742,0.9935483870967742,0.9889273062682544,0.9955365697860109,0.0024752475247524753,806,2,2,308,Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv
TRAIN,1123,118,1005,118,1005,0.9910952804986642,0.9576271186440678,0.9576271186440678,0.9576271186440678,0.9215020581132073,0.9763259971329793,0.004975124378109453,1000,5,5,113,Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv
TRAIN,1076,129,947,129,947,0.8085501858736059,0.20155038759689922,0.20155038759689922,0.20155038759689922,0.1363474658036573,0.5463929340307622,0.10876451953537487,844,103,103,26,Thursday-22-02-2018_TrafficForML_CICFlowMeter_30s_state.csv
TRAIN,1065,380,685,380,685,0.996244131455399,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9913793193138516,0.995908567038033,0.00291970802919708,683,2,2,378,Wednesday-14-02-2018_TrafficForML_CICFlowMeter_30s_state.csv
TRAIN,144,96,48,96,48,0.9861111111111112,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9862196180555556,0.984375,0.020833333333333332,47,1,1,95,Wednesday-21-02-2018_TrafficForML_CICFlowMeter_30s_state.csv
VALIDATION,1117,266,851,266,851,0.9964189794091316,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.9868094486186858,0.9950655133721495,0.0023501762632197414,849,2,2,264,Wednesday-28-02-2018_TrafficForML_CICFlowMeter_30s_state.csv
