Samples,Actual_Attack,Actual_Benign,Predicted_Attack,Predicted_Benign,Accuracy,Precision,Recall,F1,PR_AUC,False_Positive_Rate,TN,FP,FN,TP,Source_File,Split
1026,673,353,673,353,0.9980506822612085,0.9985141158989599,0.9985141158989599,0.9985141158989599,0.9980050985188772,0.0028328611898017,352,1,1,672,Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST
83,83,0,83,0,1.0,1.0,1.0,1.0,1.0,,0,0,0,83,Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN
1090,191,899,191,899,0.8422018348623853,0.5497382198952879,0.5497382198952879,0.5497382198952879,0.3811111929824473,0.09566184649610679,813,86,86,105,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN
1429,151,1278,151,1278,0.9874037788663401,0.9403973509933775,0.9403973509933775,0.9403973509933775,0.8906452883221916,0.007042253521126761,1269,9,9,142,Thuesday-20-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN
1117,310,807,310,807,0.9964189794091316,0.9935483870967742,0.9935483870967742,0.9935483870967742,0.9889289077980357,0.0024783147459727386,805,2,2,308,Thursday-01-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST
1122,118,1004,118,1004,0.9910873440285205,0.9576271186440678,0.9576271186440678,0.9576271186440678,0.9215060263482793,0.0049800796812749,999,5,5,113,Thursday-15-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN
1075,129,946,129,946,0.8083720930232559,0.20155038759689922,0.20155038759689922,0.20155038759689922,0.1364365122288324,0.10887949260042283,843,103,103,26,Thursday-22-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN
1064,380,684,380,684,0.9962406015037594,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9913810842896714,0.0029239766081871343,682,2,2,378,Wednesday-14-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN
139,95,44,95,44,1.0,1.0,1.0,1.0,1.0,0.0,44,0,0,95,Wednesday-21-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN
1116,266,850,266,850,0.996415770609319,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.9868110530185921,0.002352941176470588,848,2,2,264,Wednesday-28-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,VALIDATION
