File,Previous_Window,Next_Window,Gap_Seconds,Gap_Minutes,Missing_30s_Windows
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 05:30:00,2018-03-02 08:46:30,11790,196.5,392
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:00:30,2018-02-16 01:01:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:01:30,2018-02-16 01:03:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:03:30,2018-02-16 01:06:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:06:00,2018-02-16 01:08:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:08:30,2018-02-16 01:11:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:11:30,2018-02-16 01:14:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:15:00,2018-02-16 01:17:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:17:00,2018-02-16 01:18:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:18:00,2018-02-16 01:20:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:20:00,2018-02-16 01:23:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:24:30,2018-02-16 01:25:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:26:00,2018-02-16 01:28:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:28:30,2018-02-16 01:29:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:29:30,2018-02-16 01:31:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:31:30,2018-02-16 01:34:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:34:00,2018-02-16 01:37:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:37:00,2018-02-16 01:38:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:38:00,2018-02-16 01:39:30,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:39:30,2018-02-16 01:41:30,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:41:30,2018-02-16 01:42:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:42:30,2018-02-16 01:43:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:44:00,2018-02-16 01:45:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 01:48:30,2018-02-16 08:26:30,23880,398.0,795
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:27:30,2018-02-16 08:30:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:30:00,2018-02-16 08:33:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:33:00,2018-02-16 08:34:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:34:00,2018-02-16 08:35:30,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:35:30,2018-02-16 08:38:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:38:30,2018-02-16 08:41:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:41:00,2018-02-16 08:42:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:42:00,2018-02-16 08:44:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:44:00,2018-02-16 08:47:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:47:00,2018-02-16 08:49:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:49:30,2018-02-16 08:51:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:51:00,2018-02-16 08:52:30,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:52:30,2018-02-16 08:55:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:56:00,2018-02-16 08:58:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 08:58:00,2018-02-16 09:01:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:01:00,2018-02-16 09:03:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:03:30,2018-02-16 09:04:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:04:30,2018-02-16 09:06:30,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:07:00,2018-02-16 09:09:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:09:30,2018-02-16 09:12:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:12:00,2018-02-16 09:15:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:15:00,2018-02-16 09:18:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:18:00,2018-02-16 09:20:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:20:30,2018-02-16 09:22:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:22:00,2018-02-16 09:23:30,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:23:30,2018-02-16 09:26:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:26:30,2018-02-16 09:28:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:28:00,2018-02-16 09:29:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:30:00,2018-02-16 09:32:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:32:00,2018-02-16 09:33:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:33:30,2018-02-16 09:34:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:34:30,2018-02-16 09:37:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:37:30,2018-02-16 09:40:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:40:30,2018-02-16 09:43:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:43:00,2018-02-16 09:45:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:46:00,2018-02-16 09:48:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:48:00,2018-02-16 09:49:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:49:30,2018-02-16 09:51:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:51:30,2018-02-16 09:54:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:54:30,2018-02-16 09:56:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:56:00,2018-02-16 09:57:30,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 09:58:00,2018-02-16 10:00:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 10:00:30,2018-02-16 10:03:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 10:03:00,2018-02-16 10:05:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 10:05:30,2018-02-16 10:07:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 10:07:00,2018-02-16 10:08:30,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 10:09:00,2018-02-16 10:11:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 10:58:00,2018-02-16 10:59:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 10:59:00,2018-02-16 11:02:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:02:00,2018-02-16 11:04:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:05:00,2018-02-16 11:07:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:08:00,2018-02-16 11:10:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:10:30,2018-02-16 11:13:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:13:30,2018-02-16 11:16:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:16:30,2018-02-16 11:18:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:18:00,2018-02-16 11:19:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:19:00,2018-02-16 11:20:30,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:20:30,2018-02-16 11:21:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:21:30,2018-02-16 11:24:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:24:30,2018-02-16 11:26:30,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:26:30,2018-02-16 11:27:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:27:30,2018-02-16 11:30:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:30:00,2018-02-16 11:33:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:33:00,2018-02-16 11:36:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:36:00,2018-02-16 11:38:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:38:30,2018-02-16 11:41:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:41:30,2018-02-16 11:44:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:44:30,2018-02-16 11:47:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:47:30,2018-02-16 11:50:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:50:00,2018-02-16 11:52:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:52:30,2018-02-16 11:55:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:55:30,2018-02-16 11:56:30,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:56:30,2018-02-16 11:58:30,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 11:58:30,2018-02-16 12:01:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:01:00,2018-02-16 12:04:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:04:00,2018-02-16 12:05:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:05:00,2018-02-16 12:07:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:07:00,2018-02-16 12:09:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:09:30,2018-02-16 12:11:00,90,1.5,2
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:12:30,2018-02-16 12:15:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:15:30,2018-02-16 12:18:00,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:18:00,2018-02-16 12:21:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:21:00,2018-02-16 12:23:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:23:30,2018-02-16 12:26:30,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:27:00,2018-02-16 12:29:30,150,2.5,4
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:29:30,2018-02-16 12:31:30,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:32:00,2018-02-16 12:34:00,120,2.0,3
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:34:00,2018-02-16 12:35:00,60,1.0,1
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:35:00,2018-02-16 12:38:00,180,3.0,5
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-02-16 12:39:30,2018-02-16 12:40:30,60,1.0,1
