File,Window_Size,Total_Windows,Attack_Containing_Windows,Completely_Benign_Windows,Mean_Attack_Ratio,Median_Attack_Ratio,P95_Attack_Ratio,Maximum_Attack_Ratio,Low_Attack_Windows_<5%,Medium_Attack_Windows_5-50%,High_Attack_Windows_>=50%,First_Attack_Window,First_Attack_Ratio
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,10s,3143,2045,1098,0.24035561621830268,0.24369747899159663,0.67455240984159,0.8568507157464212,22,1680,343,2018-03-02 01:00:00,0.43478260869565216
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,30s,1048,684,364,0.23066755443973722,0.2463511853028441,0.6425729950160205,0.832102081934184,7,565,112,2018-03-02 01:00:00,0.39764359351988215
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,60s,525,342,183,0.22437043613231933,0.24644983967017867,0.6257823327959595,0.8101649276337933,3,285,54,2018-03-02 01:00:00,0.3527868852459016
Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,10s,500,297,203,0.5740510048661623,0.9970674486803519,1.0,1.0,0,15,282,2018-02-16 01:45:20,0.6699600355239786
Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,30s,265,101,164,0.3668190246737136,0.0,1.0,1.0,0,5,96,2018-02-16 01:45:00,0.6699228506410613
Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,60s,191,51,140,0.2566713162315789,0.0,1.0,1.0,0,2,49,2018-02-16 01:45:00,0.5386520839491575
Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,10s,3335,258,3077,0.000686327063040596,0.0,0.005669087974172702,0.0335195530726257,258,0,0,2018-02-23 01:01:00,0.006622516556291391
Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,30s,1112,196,916,0.0006316572398294066,0.0,0.004259350337845509,0.011666666666666667,196,0,0,2018-02-23 01:01:00,0.0019749835418038184
Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,60s,556,142,414,0.000582818568932412,0.0,0.003563312674687082,0.008576329331046312,142,0,0,2018-02-23 01:01:00,0.001785076758300607
Thuesday-20-02-2018_TrafficForML_CICFlowMeter.csv,10s,4304,434,3870,0.034217726162915144,0.0,0.38228020929276785,0.5391608391608391,56,371,7,2018-02-20 01:14:10,0.05443886097152429
Thuesday-20-02-2018_TrafficForML_CICFlowMeter.csv,30s,1440,151,1289,0.03392175601704884,0.0,0.3863304861903397,0.4980544747081712,25,126,0,2018-02-20 01:14:00,0.01998769987699877
Thuesday-20-02-2018_TrafficForML_CICFlowMeter.csv,60s,720,80,640,0.033841787876084446,0.0,0.38480809677401595,0.44407878817209506,17,63,0,2018-02-20 01:14:00,0.009070611219648339
Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,10s,3407,930,2477,0.19412683744039055,0.0,0.891357291357291,0.9982046678635548,0,139,791,2018-03-01 02:00:00,0.8571428571428571
Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,30s,1139,310,829,0.19658519654345707,0.0,0.8565732811353071,0.9902152641878669,0,30,280,2018-03-01 02:00:00,0.6989247311827957
Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,60s,570,155,415,0.19549831761778005,0.0,0.8439444655762646,0.9731774415405777,0,8,147,2018-03-01 02:00:00,0.7564935064935064
Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,10s,3429,341,3088,0.023008573628655653,0.0,0.11445112295458794,0.8035190615835777,39,240,62,2018-02-15 09:27:40,0.42562338779019776
Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,30s,1144,118,1026,0.023638272271174647,0.0,0.11722854770799965,0.7298063297118564,9,85,24,2018-02-15 09:27:30,0.31784684396026913
Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,60s,572,62,510,0.023701612785709696,0.0,0.13470399085270832,0.7045403712815925,5,45,12,2018-02-15 09:27:00,0.2590078328981723
